Code__c,Name,IsActive__c
8634,COMMUNITY HEALTH CENTRES,TRUE
8635,PHYSIOTHERAPY SERVICES,TRUE
8636,CHIROPRACTIC SERVICES,TRUE
8639,HEALTH SERVICES n.e.c.,TRUE
8640,VETERINARY SERVICES,TRUE
8651,PUBLIC HOSPITALS (EXCEPT PSYCHIATRIC),TRUE
8652,PRIVATE HOSPITALS (EXC RELIGIOUS CHARITABLE OR PSYCHIATRIC),TRUE
8653,PUBLIC PSYCHIATRIC HOSPITALS,TRUE
8654,PRIVATE PSYCHIATRIC HOSPITALS (EXC RELIGIOUS OR CHARITABLE),TRUE
8655,RELIGIOUS & CHARITABLE HOSPITAL (EXC PSYCHIATRIC),TRUE
8656,RELIGIOUS & CHARITABLE PSYCHIATRIC HOSPITALS,TRUE
8661,PUBLIC NURSING HOMES,TRUE
8662,PRIVATE NURSING HOMES (EXC RELIGIOUS OR CHARITABLE),TRUE
8663,RELIGIOUS & CHARITABLE NURSING HOMES,TRUE
8710,CHILD CARE SERVICES,TRUE
8722,RESIDENTIAL CARE SERVICES n.e.c.,TRUE
8723,PUBLIC ACCOMMODATION FOR THE AGED,TRUE
8724,PRIVATE ACCOMMODATION FOR AGED (EXC RELIGIOUS OR CHARITABLE),TRUE
8725,RELIG & CHARITABLE ACCT FOR THE AGED,TRUE
8726,WELFARE & CHARITABLE ORGANISATIONS,TRUE
8729,NON-RESIDENTIAL CARE SERVICES n.e.c.,TRUE
9111,FILM & VIDEO PRODUCTION,TRUE
9112,FILM & VIDEO DISTRIBUTION,TRUE
